timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
152,-2739.990200,-7920.019600,20.001300,-128.100006,-0.617036,0.786935,0.000000,-0.786935,-0.617036,0.000000,0.000000,0.000000,1.000000,0
153,-2760.009800,-7929.980500,9.991600,-131.000000,-0.656059,0.754710,0.000000,-0.754710,-0.656059,0.000000,0.000000,0.000000,1.000000,0
154,-2760.009800,-7929.980500,9.991600,-131.000000,-0.656059,0.754710,0.000000,-0.754710,-0.656059,0.000000,0.000000,0.000000,1.000000,0
155,-2760.009800,-7929.980500,9.991600,-131.000000,-0.656059,0.754710,0.000000,-0.754710,-0.656059,0.000000,0.000000,0.000000,1.000000,0
156,-2780.029300,-7939.941500,9.991600,-134.000000,-0.694658,0.719340,0.000000,-0.719340,-0.694658,0.000000,0.000000,0.000000,1.000000,0
157,-2780.029300,-7939.941500,9.991600,-134.000000,-0.694658,0.719340,0.000000,-0.719340,-0.694658,0.000000,0.000000,0.000000,1.000000,0
158,-2780.029300,-7939.941500,9.991600,-134.000000,-0.694658,0.719340,0.000000,-0.719340,-0.694658,0.000000,0.000000,0.000000,1.000000,0
159,-2800.000000,-7959.961000,9.991600,-137.400009,-0.736097,0.676876,0.000000,-0.676876,-0.736097,0.000000,0.000000,0.000000,1.000000,0
160,-2800.000000,-7959.961000,9.991600,-137.400009,-0.736097,0.676876,0.000000,-0.676876,-0.736097,0.000000,0.000000,0.000000,1.000000,0
161,-2830.029300,-7970.019600,9.991600,-140.600006,-0.772734,0.634730,0.000000,-0.634730,-0.772734,0.000000,0.000000,0.000000,1.000000,0
162,-2830.029300,-7970.019600,9.991600,-140.600006,-0.772734,0.634730,0.000000,-0.634730,-0.772734,0.000000,0.000000,0.000000,1.000000,0
163,-2830.029300,-7970.019600,9.991600,-140.600006,-0.772734,0.634730,0.000000,-0.634730,-0.772734,0.000000,0.000000,0.000000,1.000000,0
164,-2850.000000,-7979.980500,9.991600,-141.800003,-0.785857,0.618408,0.000000,-0.618408,-0.785857,0.000000,0.000000,0.000000,1.000000,0
165,-2850.000000,-7979.980500,9.991600,-141.800003,-0.785857,0.618408,0.000000,-0.618408,-0.785857,0.000000,0.000000,0.000000,1.000000,0
166,-2850.000000,-7979.980500,9.991600,-141.800003,-0.785857,0.618408,0.000000,-0.618408,-0.785857,0.000000,0.000000,0.000000,1.000000,0
167,-2870.019500,-8000.000100,9.991600,-140.000000,-0.766044,0.642788,0.000000,-0.642788,-0.766044,0.000000,0.000000,0.000000,1.000000,0
168,-2870.019500,-8000.000100,9.991600,-140.000000,-0.766044,0.642788,0.000000,-0.642788,-0.766044,0.000000,0.000000,0.000000,1.000000,0
169,-2870.019500,-8000.000100,9.991600,-140.000000,-0.766044,0.642788,0.000000,-0.642788,-0.766044,0.000000,0.000000,0.000000,1.000000,0
170,-2880.029300,-8009.961000,9.991600,-137.699997,-0.739631,0.673013,0.000000,-0.673013,-0.739631,0.000000,0.000000,0.000000,1.000000,0
171,-2880.029300,-8009.961000,9.991600,-137.699997,-0.739631,0.673013,0.000000,-0.673013,-0.739631,0.000000,0.000000,0.000000,1.000000,0
172,-2880.029300,-8009.961000,9.991600,-137.699997,-0.739631,0.673013,0.000000,-0.673013,-0.739631,0.000000,0.000000,0.000000,1.000000,0
